imie,plec,rok,miesiac,liczba
Aaron,M,2016,5,0
Aaron,M,2016,4,0
Aaron,M,2016,3,0
Aaron,M,2016,2,0
Aaron,M,2016,1,0
Aaron,M,2015,12,0
Aaron,M,2015,11,0
Aaron,M,2015,10,0
Aaron,M,2015,9,0
Aaron,M,2015,8,0
Aaron,M,2015,7,0
Aaron,M,2015,6,0
Aaron,M,2015,5,0
Aaron,M,2015,4,0
Aaron,M,2015,3,0
Aaron,M,2015,2,0
Aaron,M,2015,1,0
Aaron,M,2014,12,0
Aaron,M,2014,11,0
Aaron,M,2014,10,0
Aaron,M,2014,9,0
Aaron,M,2014,8,0
Aaron,M,2014,7,0
Aaron,M,2014,6,0
Aaron,M,2014,5,0
Aaron,M,2014,4,0
Aaron,M,2014,3,0
Aaron,M,2014,2,0
Aaron,M,2014,1,0
Aaron,M,2013,12,0
Aaron,M,2013,11,0
Aaron,M,2013,10,0
Aaron,M,2013,9,0
Aaron,M,2013,8,0
Aaron,M,2013,7,0
Aaron,M,2013,6,0
Aaron,M,2013,5,0
Aaron,M,2013,4,0
Aaron,M,2013,3,1
Aaron,M,2013,2,0
Aaron,M,2013,1,0
Aaron,M,2012,12,0
Aaron,M,2012,11,0
Aaron,M,2012,10,0
Aaron,M,2012,9,0
Aaron,M,2012,8,0
Aaron,M,2012,7,0
Aaron,M,2012,6,0
Aaron,M,2012,5,0
Aaron,M,2012,4,0
Aaron,M,2012,3,0
Aaron,M,2012,2,0
Aaron,M,2012,1,0
Aaron,M,2011,12,0
Aaron,M,2011,11,0
Aaron,M,2011,10,0
Aaron,M,2011,9,0
Aaron,M,2011,8,0
Aaron,M,2011,7,0
Aaron,M,2011,6,1
Aaron,M,2011,5,0
Aaron,M,2011,4,0
Aaron,M,2011,3,0
Aaron,M,2011,2,0
Aaron,M,2011,1,0
Aaron,M,2010,12,0
Aaron,M,2010,11,0
Aaron,M,2010,10,0
Aaron,M,2010,9,0
Aaron,M,2010,8,0
Aaron,M,2010,7,0
Aaron,M,2010,6,0
Aaron,M,2010,5,0
Aaron,M,2010,4,0
Aaron,M,2010,3,0
Aaron,M,2010,2,0
Aaron,M,2010,1,0
Aaron,M,2009,12,0
Aaron,M,2009,11,1
Aaron,M,2009,10,0
Aaron,M,2009,9,0
Aaron,M,2009,8,0
Aaron,M,2009,7,0
Aaron,M,2009,6,0
Aaron,M,2009,5,0
Aaron,M,2009,4,0
Aaron,M,2009,3,0
Aaron,M,2009,2,0
Aaron,M,2009,1,0
Aaron,M,2008,12,0
Aaron,M,2008,11,0
Aaron,M,2008,10,0
Aaron,M,2008,9,0
Aaron,M,2008,8,0
Aaron,M,2008,7,1
Aaron,M,2008,6,1
Aaron,M,2008,5,0
Aaron,M,2008,4,0
Aaron,M,2008,3,0
Aaron,M,2008,2,0
Aaron,M,2008,1,0
Aaron,M,2007,12,0
Aaron,M,2007,11,0
Aaron,M,2007,10,0
Aaron,M,2007,9,0
Aaron,M,2007,8,0
Aaron,M,2007,7,0
Aaron,M,2007,6,0
Aaron,M,2007,5,0
Aaron,M,2007,4,0
Aaron,M,2007,3,0
Aaron,M,2007,2,0
Aaron,M,2007,1,0
Aaron,M,2006,12,0
Aaron,M,2006,11,0
Aaron,M,2006,10,0
Aaron,M,2006,9,1
Aaron,M,2006,8,0
Aaron,M,2006,7,0
Aaron,M,2006,6,0
Aaron,M,2006,5,0
Aaron,M,2006,4,0
Aaron,M,2006,3,0
Aaron,M,2006,2,0
Aaron,M,2006,1,0
Aaron,M,2005,12,0
Aaron,M,2005,11,0
Aaron,M,2005,10,0
Aaron,M,2005,9,0
Aaron,M,2005,8,0
Aaron,M,2005,7,0
Aaron,M,2005,6,0
Aaron,M,2005,5,0
Aaron,M,2005,4,0
Aaron,M,2005,3,0
Aaron,M,2005,2,0
Aaron,M,2005,1,0
Aaron,M,2004,12,0
Aaron,M,2004,11,0
Aaron,M,2004,10,0
Aaron,M,2004,9,0
Aaron,M,2004,8,0
Aaron,M,2004,7,0
Adam,M,2016,5,3
Adam,M,2016,4,2
Adam,M,2016,3,4
Adam,M,2016,2,6
Adam,M,2016,1,5
Adam,M,2015,12,4
Adam,M,2015,11,5
Adam,M,2015,10,5
Adam,M,2015,9,3
Adam,M,2015,8,8
Adam,M,2015,7,7
Adam,M,2015,6,11
Adam,M,2015,5,17
Adam,M,2015,4,11
Adam,M,2015,3,9
Adam,M,2015,2,6
Adam,M,2015,1,10
Adam,M,2014,12,5
Adam,M,2014,11,16
Adam,M,2014,10,13
Adam,M,2014,9,11
Adam,M,2014,8,7
Adam,M,2014,7,11
Adam,M,2014,6,6
Adam,M,2014,5,13
Adam,M,2014,4,12
Adam,M,2014,3,14
Adam,M,2014,2,15
Adam,M,2014,1,14
Adam,M,2013,12,9
Adam,M,2013,11,8
Adam,M,2013,10,5
Adam,M,2013,9,17
Adam,M,2013,8,8
Adam,M,2013,7,4
Adam,M,2013,6,14
Adam,M,2013,5,10
Adam,M,2013,4,9
Adam,M,2013,3,12
Adam,M,2013,2,3
Adam,M,2013,1,10
Adam,M,2012,12,6
Adam,M,2012,11,13
Adam,M,2012,10,13
Adam,M,2012,9,12
Adam,M,2012,8,6
Adam,M,2012,7,7
Adam,M,2012,6,13
Adam,M,2012,5,10
Adam,M,2012,4,9
Adam,M,2012,3,7
Adam,M,2012,2,10
Adam,M,2012,1,14
Adam,M,2011,12,9
Adam,M,2011,11,10
Adam,M,2011,10,17
Adam,M,2011,9,6
Adam,M,2011,8,11
Adam,M,2011,7,21
Adam,M,2011,6,20
Adam,M,2011,5,18
Adam,M,2011,4,13
Adam,M,2011,3,15
Adam,M,2011,2,10
Adam,M,2011,1,15
Adam,M,2010,12,13
Adam,M,2010,11,14
Adam,M,2010,10,9
Adam,M,2010,9,19
Adam,M,2010,8,6
Adam,M,2010,7,7
Adam,M,2010,6,7
Adam,M,2010,5,18
Adam,M,2010,4,4
Adam,M,2010,3,12
Adam,M,2010,2,5
Adam,M,2010,1,12
Adam,M,2009,12,7
Adam,M,2009,11,13
Adam,M,2009,10,11
Adam,M,2009,9,26
Adam,M,2009,8,10
Adam,M,2009,7,12
Adam,M,2009,6,5
Adam,M,2009,5,6
Adam,M,2009,4,15
Adam,M,2009,3,9
Adam,M,2009,2,1
Adam,M,2009,1,5
Adam,M,2008,12,10
Adam,M,2008,11,13
Adam,M,2008,10,8
Adam,M,2008,9,11
Adam,M,2008,8,11
Adam,M,2008,7,16
Adam,M,2008,6,12
Adam,M,2008,5,5
Adam,M,2008,4,15
Adam,M,2008,3,10
Adam,M,2008,2,10
Adam,M,2008,1,13
Adam,M,2007,12,9
Adam,M,2007,11,15
Adam,M,2007,10,13
Adam,M,2007,9,8
Adam,M,2007,8,18
Adam,M,2007,7,10
Adam,M,2007,6,16
Adam,M,2007,5,8
Adam,M,2007,4,10
